,zone_id,E_school_age_population,E_infant_population,E_built_surface_m2,E_population,E_num_schools,E_num_hcs,E_smod_class,E_rwi,probability,name
0,JAM_0001_V2,21214.512878571004,7207.603963350491,7485005.34,97915.17720017076,16.54,3.0600000000000005,4.69281512605042,0.03296478991596639,0.38999999999999996,Clarendon
1,JAM_0002_V2,11676.72490707755,4510.699142934531,4078969.0,56384.47988945008,9.36,3.76,7.875900000000001,0.1195102,0.6404000000000001,Hanover
2,JAM_0003_V2,12698.932201237678,4259.919184092283,6115712.94,64948.51693634033,14.54,5.9399999999999995,4.151187500000001,0.05057637499999999,0.336375,Manchester
3,JAM_0004_V2,4493.850258621275,1412.0414381468295,1113690.26,22409.553858470917,5.42,2.88,2.7239181286549705,0.0015815204678362575,0.23029239766081872,Portland
4,JAM_0005_V2,26625.73657844901,8375.073417421281,7511705.96,148851.31811279297,56.1,18.7,3.4977419354838712,0.10125741935483872,0.2221505376344086,Saint Andrew
5,JAM_0006_V2,19787.596183646918,6945.328343310059,8906462.34,97730.77963878632,5.66,3.92,4.586763485477179,0.05596763485477179,0.38257261410788385,Saint Ann
6,JAM_0007_V2,31176.24537868947,10969.024547623918,9058923.06,159513.62320216178,30.82,14.8,3.8215637860082303,0.050487489711934154,0.2903703703703704,Saint Catherine
7,JAM_0008_V2,16087.685260922908,5575.849016672373,9857849.38,81377.78392799378,12.42,13.780000000000001,5.198212765957447,0.041406893617021275,0.42485106382978727,Saint Elizabeth
8,JAM_0009_V2,29753.4505700922,11082.947541627884,11403724.1,149087.1703012085,16.62,25.54,7.546776859504132,0.16838644628099173,0.5375206611570248,Saint James
9,JAM_0010_V2,9479.483279066682,3376.521799916774,3059907.18,46929.046082248686,3.52,0.96,3.711846153846154,0.016456461538461538,0.2918461538461538,Saint Mary
10,JAM_0011_V2,6624.679931912422,2228.424541243017,1848439.5,32318.314501514436,5.98,2.08,3.213101265822785,-0.004509113924050633,0.27607594936708857,Saint Thomas
11,JAM_0012_V2,8611.062632322311,3101.605530577898,3854785.64,42063.53269149781,4.44,1.5,4.989294117647058,0.05246929411764706,0.42858823529411766,Trelawny
12,JAM_0013_V2,17687.563726205826,6956.5900815081595,6622309.26,86699.74513763428,10.52,13.66,5.9732317073170735,0.06065890243902439,0.4958536585365854,Westmoreland
13,JAM_0014_V2,4070.918282470703,1548.6054623413086,760705.0,19619.265703125,7.7,2.8600000000000003,6.16,0.23144,0.22,Kingston
