,zone_id,E_school_age_population,E_infant_population,E_built_surface_m2,E_population,E_num_schools,E_num_hcs,E_smod_class,E_rwi,probability,name
0,JAM_0001_V2,559.8931139949254,190.21770031977923,162043.1219512195,2577.905901555608,0.1951219512195122,0.0,0.12154129944660792,0.0010157819225251076,0.010452961672473867,Clarendon
1,JAM_0002_V2,777.4259958078221,300.3972706284101,278034.8780487805,3760.983161647145,0.5365853658536586,0.24390243902439027,0.5231707317073171,0.009161219512195123,0.042682926829268296,Hanover
2,JAM_0003_V2,59.09064927915247,19.81225194073305,16834.024390243903,293.7505297777129,0.0,0.0,0.036280487804878046,-1.3719512195121692e-06,0.0033536585365853662,Manchester
3,JAM_0004_V2,2.821945360884434,0.8853816499070424,351.3658536585366,16.557926806007945,0.0,0.0,0.0044216231636000575,-2.2963913849664812e-05,0.00042789901583226365,Portland
4,JAM_0005_V2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Saint Andrew
5,JAM_0006_V2,15.359581168104963,5.39000835942059,1939.7560975609756,79.32996573099277,0.0,0.0,0.006173464224268799,8.642849913976319e-05,0.0006072259892723409,Saint Ann
6,JAM_0007_V2,386.5120518545552,136.01571107355923,80092.58536585367,1948.518203956325,0.17073170731707316,0.0,0.06724882063635453,0.0007296998895914885,0.0058215396968784505,Saint Catherine
7,JAM_0008_V2,402.84435815055195,139.62584051853273,221266.78048780488,2031.8875225346264,0.34146341463414637,0.17073170731707316,0.13788271925272447,0.0008631032693305657,0.011831862999481059,Saint Elizabeth
8,JAM_0009_V2,1812.5401574576774,675.154057366092,696812.8780487805,9069.787821141685,1.024390243902439,1.6341463414634148,0.456661963313848,0.010274742995363838,0.03245313444869986,Saint James
9,JAM_0010_V2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Saint Mary
10,JAM_0011_V2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Saint Thomas
11,JAM_0012_V2,411.1337607430249,148.19275113722173,190065.17073170733,1987.804084777832,0.14634146341463417,0.07317073170731708,0.16133428981348638,0.0028258249641319945,0.013055954088952656,Trelawny
12,JAM_0013_V2,1127.6732064049418,443.50135415356334,415179.0243902439,5534.173846268072,0.7804878048780488,1.0975609756097562,0.35373289708506844,0.00479476502082094,0.028703152885187388,Westmoreland
13,JAM_0014_V2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kingston
