,zone_id,id,probability,E_population,E_built_surface_m2,E_num_schools,E_school_age_population,E_infant_population,E_num_hcs,E_rwi,E_smod_class
0,03221022110331,JAM_0003_V2,0.64,41.0908056640625,26.88,0.0,6.421099090576172,2.1523451042175292,0.0,0.0,6.4
1,03221022111221,JAM_0003_V2,0.62,44.458151245117186,0.0,0.0,7.653771784305572,2.5655355429649354,0.0,0.0,6.2
2,03221022111220,JAM_0003_V2,0.62,132.1869970703125,620.0,0.0,25.144926795959474,8.428550350666047,0.0,0.0,6.51
3,03221022111203,JAM_0003_V2,0.56,188.85699218750003,193.76000000000002,0.0,39.68697242736817,13.303027706146242,0.0,0.0,6.16
4,03221022110313,JAM_0003_V2,0.6,365.951220703125,18975.0,0.0,71.34783554077148,23.915711688995362,0.0,-0.0096,6.6
5,03221022111212,JAM_0003_V2,0.5,163.66090393066406,423.0,0.0,31.914244174957275,10.697617650032043,0.0,0.0,5.5
6,03221022111202,JAM_0003_V2,0.56,235.60559326171878,27525.680000000004,0.0,48.120517120361335,16.12994260787964,0.0,-0.08008,6.16
7,03221022111213,JAM_0003_V2,0.44,116.70920776367187,2.2,0.0,24.525621719360352,8.220960111618043,0.0,0.0,4.62
8,03221022111211,JAM_0003_V2,0.36,102.14691284179688,401.03999999999996,0.0,20.437440490722654,6.850606441497803,0.0,0.0,3.96
9,03221022111210,JAM_0003_V2,0.42,155.77087097167967,23568.719999999998,0.0,29.36439851760864,9.842912063598632,0.0,-0.0105,4.62
10,03221022111200,JAM_0003_V2,0.52,274.6566430664063,51863.240000000005,0.0,53.558263816833495,17.952668409347535,0.0,0.01872,6.24
11,03221022111201,JAM_0003_V2,0.48,225.51178710937498,58608.479999999996,0.0,46.29064407348633,15.516571083068847,0.0,-0.06048,5.76
12,03221022110311,JAM_0003_V2,0.54,541.152410888672,39755.880000000005,0.0,100.20358829498292,33.58812606811524,0.0,-0.2727,5.94
13,03221022110202,JAM_0008_V2,0.6,253.66644287109375,8620.8,0.0,51.88012332916259,17.990238904953003,0.0,-0.1374,6.3
14,03221022101312,JAM_0008_V2,0.64,412.90402343750003,35818.24,0.0,88.00184326171875,30.516006774902344,0.0,0.17152,7.68
15,03221022110203,JAM_0008_V2,0.6,459.5826049804687,50830.2,0.0,97.95040969848633,33.96582727432251,0.0,-0.0582,6.6
16,03221022101313,JAM_0008_V2,0.62,230.56717346191405,283.34,0.0,45.441040477752686,15.75738748550415,0.0,0.0,6.51
17,03221022101303,JAM_0008_V2,0.68,239.30540161132814,45143.840000000004,0.68,45.74076248168946,15.861320066452027,0.0,0.19720000000000001,7.82
18,03221022101310,JAM_0008_V2,0.58,661.4757690429688,82080.43999999999,0.0,137.9086269378662,47.82196123123168,0.0,0.06147999999999999,6.959999999999999
19,03221022101301,JAM_0008_V2,0.62,956.1200732421875,174627.96,0.62,192.20531913757324,66.650178565979,0.0,0.59892,7.4399999999999995
20,03221022101311,JAM_0008_V2,0.58,844.3827197265624,119822.78,0.0,162.52997032165527,56.35979038238525,0.0,0.52142,6.959999999999999
