Region,Target,Achieved,Difference,Difference_Pct,Total_Children
Rural,142571.92880369924,120374.02077888197,-22197.90802481727,-15.56962033906447,411510.1395701582
Urban,56929.17150792237,57829.162287584004,899.9907796616317,1.5808956213887413,248418.70322191715
KMA,64255.873011194715,66745.2846294343,2489.4116182395883,3.874216474820723,185885.27636106312
