parish,area_classification,children_population,poor_children,poverty_prob,poverty_rate
Clarendon,Rural,51865.88694426068,17301.55099096659,0.37125369383486084,33.35824760802847
Clarendon,Urban,31447.66497516632,9922.425559397056,0.3220364916230442,31.55218540782797
Hanover,Rural,17832.624094653875,5075.57292937096,0.35749678057843237,28.462288569704047
Hanover,Urban,6087.658809304237,634.7699706456935,0.15373562502890475,10.427160761301632
Kingston,KMA,25543.289749145508,7252.964169530924,0.3154811733837214,28.39479268630054
Manchester,Rural,36548.67301234603,9913.306905455669,0.34187361425296386,27.123575463620757
Manchester,Urban,21195.682550430298,4744.644912576776,0.25765503559326797,22.38495930144252
Portland,Rural,19654.96455401182,6636.07996117661,0.38874075256953733,33.76286913639894
Portland,Urban,5516.193776130676,1298.3389390073978,0.28878486551416604,23.53686240366478
Saint Andrew,KMA,160341.98661191761,59492.320459903385,0.5713212440383953,37.103394885517496
Saint Ann,Rural,43299.7750698477,11868.928623071659,0.36415701943533063,27.411062999578313
Saint Ann,Urban,12985.682386398315,3188.8502193317167,0.2702610661317715,24.55666267235857
Saint Catherine,Rural,68775.22261514142,18097.36137461467,0.34005749604725866,26.313780874088206
Saint Catherine,Urban,98161.88833999634,22572.454386997528,0.26632188960259295,22.99513056311114
Saint Elizabeth,Rural,37583.78209090233,11626.030019572341,0.3667035954413642,30.93363512871841
Saint Elizabeth,Urban,9637.32744026184,3201.724819890496,0.3715984481681391,33.2221234542126
Saint James,Rural,26474.916294693947,6473.222813184417,0.3412395269896166,24.45039954472592
Saint James,Urban,33749.55278682709,4919.6908605952185,0.16284397884893154,14.577054966237778
Saint Mary,Rural,27247.814375676215,8868.754523413849,0.4166310346205724,32.54849875713656
Saint Mary,Urban,9210.368236541748,2348.0207211148117,0.2841294566183534,25.493233938238628
Saint Thomas,Rural,22574.890420287848,8205.040124297822,0.3971827890489521,36.34586911183422
Saint Thomas,Urban,6902.454931259155,1758.8214461180335,0.2580774196767676,25.481100038087273
Trelawny,Rural,20321.263173162937,5350.740065267331,0.3338612233278216,26.330745385620176
Trelawny,Urban,4297.426922798157,1207.2584911798624,0.2543532041651548,28.092589190412287
Westmoreland,Rural,39330.3269251734,10957.43244849005,0.36456767100978343,27.8600085611715
Westmoreland,Urban,9226.802066802979,2032.1619607294122,0.24128057844780712,22.024553534543763
